"","content"
"19","夜騎就是要有夥伴還在等什麼呢？群組網址http://line.me/R/ti/g/7WdxM0fLaY或加我賴唷Kuma1539"
"20","是否該來遠証"
"21","新手感謝加入"
"22","9/8夜騎彩虹橋快來報名魯集合點一:新月橋板橋集合時間:19:30集合點二:大稻埕集合時間:20;00建議攜帶帶悠遊卡零錢健保卡安全帽車袋報名有胖胖心蒂歡迎留言+15點下雨取消※本約騎為非營利活動，所有車友均為自發性參加，參加者須自行評估風險，如發生不可預期之意外，不得以法律起訴追究領隊及其他車友承擔事故責任，並放棄求償權利。LINE kuma1539以上活動照片都會用於我們粉絲頁部落格 作下次活動之用"
"23","晚上就是♥夜騎"
"24","9/6夜騎豆花(加碼項目中社）快來報名魯集合點一:新月橋板橋集合時間:19:30集合點二:大稻埕集合時間:20;00建議攜帶帶悠遊卡零錢健保卡安全帽車袋報名有胖胖歡迎留言+15點下雨取消※本約騎為非營利活動，所有車友均為自發性參加，參加者須自行評估風險，如發生不可預期之意外，不得以法律起訴追究領隊及其他車友承擔事故責任，並放棄求償權利。LINE kuma1539以上活動照片都會用於我們粉絲頁部落格 作下次活動之用"
"25","就是愛揪團 單車 夜騎中社 下雨篇 天阿"
"26","夏之夜 好久不見老朋友 新朋友 社子豆花相見歡"
"27","大家好，我常出沒於碧潭和大稻程的河濱公園，很高興加入這個社團！"
"28","就是愛揪團 社子島 美食"
"29","#甘答門 #大稻程夜騎就是涼爽"
"30","我不是在騎車 就是在前往騎車的路上Line kuma1539"
"31","8/28夜騎關渡（甘答門）快來報名魯集合點一:新月橋板橋集合時間:19:30集合點二:大稻埕集合時間:20;00建議攜帶帶悠遊卡零錢健保卡安全帽車袋報名有胖胖修哥小德泓伶歡迎留言+15點下雨取消※本約騎為非營利活動，所有車友均為自發性參加，參加者須自行評估風險，如發生不可預期之意外，不得以法律起訴追究領隊及其他車友承擔事故責任，並放棄求償權利。LINE kuma1539以上活動照片都會用於我們粉絲頁部落格 作下次活動之用"
"32","2017/5/20 就是愛揪團 富貴角燈塔 肉粽行 劉家肉粽"
"33","開個社團賴群快自加http://line.me/R/ti/g/7WdxM0fLaY"
"34","歡迎所有新朋友今晚夜騎取消唷"
"35","新的一年 首航 石門水庫 加碼基國派老教堂"
"36","就是愛揪團 七夕情人節 大稻埕煙火秀"
"37","各位好 感謝加入 我常常有事沒事都騎單車 車子是台紅色koobi"
"38","ajak tmn"" mu msuk d group ni..yg sdh msk...!"
"39","怎麼忘記有這社團"
"40","《一個人的卡打車》腳踩著輕鬆的節奏獨自閒遊在基隆河畔右岸：其中有人戴著耳機嘴哼著歌曲在競走；有人不斷地練習模擬上籃動作；有人則是一群人大聲囔囔開心地聊著天。而，一對情侶在我眼前，女生躺在男生懷裡細語著。我給他們的愛情加上ing，是進行式。當我騎過麥帥二橋不久，對岸傳來音樂聲，是一首由類似薩克斯風吹出來的流行愛情英文歌，我只知道它的旋律卻想不起歌名。他，應該是有一段過去但藉著這樣的方式去懷念過去的一切。如果是這樣，他的這段愛情後面我加個ed，是過去式。而我，騎著車往前直行，偶爾因為眼前美景佇足；偶爾回頭看看懷念過去。但我知道目的地是在前方，所以依然腳一踏，走吧！替屬於自己的愛情路加個will be，是未來式。加油  :-)"
"41","5/25 歡迎大家一同參加 卡打車自由行"
"42","捨得？成全？"
"43","繼續前進"
"44","好久好酒沒有多人出團了 讚讚讚 ~ :D"
"45","今天卡打車開團目標士林夜市炒羊肉 請喊聲 3Q"
"46","環東大道"
"47","嗯哼"
"48","有人想騎卡打車嗎  ???"
"49","彩虹橋"
"50","百齡橋"
"51","承德橋"
"52","中山橋"
"53","民權大橋"
"54","麥帥二橋"
"55","沿途風景固然美麗，但依舊不得留戀。放下它&往前走吧！"
"56","麥帥一橋"
"57","大家 有人想小騎一下嗎 現在 關渡我無法歐 !! 快給答案不然就出發啦 XD"
"58","大直橋"
"59","洲美快速道路"
"60","今晚出發 !!! 目標士林 !!!"
"61","已經架設好囉，只差測試機器而已騎經過的朋友們可以來S.J磨坊加水喲"
"62","樟樹地區要有ub囉"
"63","今天有車友騎車去晃晃拍了很多漂亮的照片，路線也可以提供其他車友參考唷希望其他車友能邀請好朋友們進來一起分享好的路線好的周邊商家"
"64","目前汐止ub設點為國泰綜合醫院28輛汐止區公所45輛汐止火車站53輛汐科火車站（北）16輛有好吃好玩的景點麻煩大家推薦喲"
"65","汐止UB設點及附近景點，美食"
